path,size,ext,detected,ok,notes
assets/audio/en/apple.mp3,29,mp3,unknown,False,extension mp3 but header=unknown; size small (29 bytes)
assets/audio/en/book.mp3,28,mp3,unknown,False,extension mp3 but header=unknown; size small (28 bytes)
assets/audio/en/chair.mp3,29,mp3,unknown,False,extension mp3 but header=unknown; size small (29 bytes)
assets/audio/en/door.mp3,28,mp3,unknown,False,extension mp3 but header=unknown; size small (28 bytes)
assets/audio/en/garden.mp3,30,mp3,unknown,False,extension mp3 but header=unknown; size small (30 bytes)
assets/audio/en/house.mp3,29,mp3,unknown,False,extension mp3 but header=unknown; size small (29 bytes)
assets/audio/en/school.mp3,30,mp3,unknown,False,extension mp3 but header=unknown; size small (30 bytes)
assets/audio/en/tree.mp3,28,mp3,unknown,False,extension mp3 but header=unknown; size small (28 bytes)
assets/audio/en/water.mp3,29,mp3,unknown,False,extension mp3 but header=unknown; size small (29 bytes)
assets/audio/en/window.mp3,30,mp3,unknown,False,extension mp3 but header=unknown; size small (30 bytes)
assets/audio/hi/apple.mp3,22,mp3,unknown,False,extension mp3 but header=unknown; size small (22 bytes)
assets/audio/hi/Apple.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/hi/book.mp3,21,mp3,unknown,False,extension mp3 but header=unknown; size small (21 bytes)
assets/audio/hi/Book.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/hi/chair.mp3,22,mp3,unknown,False,extension mp3 but header=unknown; size small (22 bytes)
assets/audio/hi/Chair.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/hi/door.mp3,21,mp3,unknown,False,extension mp3 but header=unknown; size small (21 bytes)
assets/audio/hi/Door.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/hi/garden.mp3,23,mp3,unknown,False,extension mp3 but header=unknown; size small (23 bytes)
assets/audio/hi/Garden.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/hi/house.mp3,22,mp3,unknown,False,extension mp3 but header=unknown; size small (22 bytes)
assets/audio/hi/House.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/hi/school.mp3,23,mp3,unknown,False,extension mp3 but header=unknown; size small (23 bytes)
assets/audio/hi/School.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/hi/tree.mp3,21,mp3,unknown,False,extension mp3 but header=unknown; size small (21 bytes)
assets/audio/hi/Tree.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/hi/water.mp3,22,mp3,unknown,False,extension mp3 but header=unknown; size small (22 bytes)
assets/audio/hi/Water.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/hi/window.mp3,23,mp3,unknown,False,extension mp3 but header=unknown; size small (23 bytes)
assets/audio/hi/Window.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/kn/apple.mp3,22,mp3,unknown,False,extension mp3 but header=unknown; size small (22 bytes)
assets/audio/kn/Apple.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/kn/book.mp3,21,mp3,unknown,False,extension mp3 but header=unknown; size small (21 bytes)
assets/audio/kn/Book.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/kn/chair.mp3,22,mp3,unknown,False,extension mp3 but header=unknown; size small (22 bytes)
assets/audio/kn/Chair.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/kn/door.mp3,21,mp3,unknown,False,extension mp3 but header=unknown; size small (21 bytes)
assets/audio/kn/Door.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/kn/garden.mp3,23,mp3,unknown,False,extension mp3 but header=unknown; size small (23 bytes)
assets/audio/kn/Garden.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/kn/house.mp3,22,mp3,unknown,False,extension mp3 but header=unknown; size small (22 bytes)
assets/audio/kn/House.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/kn/school.mp3,23,mp3,unknown,False,extension mp3 but header=unknown; size small (23 bytes)
assets/audio/kn/School.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/kn/tree.mp3,21,mp3,unknown,False,extension mp3 but header=unknown; size small (21 bytes)
assets/audio/kn/Tree.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/kn/water.mp3,22,mp3,unknown,False,extension mp3 but header=unknown; size small (22 bytes)
assets/audio/kn/Water.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/kn/window.mp3,23,mp3,unknown,False,extension mp3 but header=unknown; size small (23 bytes)
assets/audio/kn/Window.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/te/apple.mp3,22,mp3,unknown,False,extension mp3 but header=unknown; size small (22 bytes)
assets/audio/te/Apple.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/te/book.mp3,21,mp3,unknown,False,extension mp3 but header=unknown; size small (21 bytes)
assets/audio/te/Book.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/te/chair.mp3,22,mp3,unknown,False,extension mp3 but header=unknown; size small (22 bytes)
assets/audio/te/Chair.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/te/door.mp3,21,mp3,unknown,False,extension mp3 but header=unknown; size small (21 bytes)
assets/audio/te/Door.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/te/garden.mp3,23,mp3,unknown,False,extension mp3 but header=unknown; size small (23 bytes)
assets/audio/te/Garden.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/te/house.mp3,22,mp3,unknown,False,extension mp3 but header=unknown; size small (22 bytes)
assets/audio/te/House.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/te/school.mp3,23,mp3,unknown,False,extension mp3 but header=unknown; size small (23 bytes)
assets/audio/te/School.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/te/tree.mp3,21,mp3,unknown,False,extension mp3 but header=unknown; size small (21 bytes)
assets/audio/te/Tree.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/te/water.mp3,22,mp3,unknown,False,extension mp3 but header=unknown; size small (22 bytes)
assets/audio/te/Water.wav,46,wav,wav,False,size small (46 bytes)
assets/audio/te/window.mp3,23,mp3,unknown,False,extension mp3 but header=unknown; size small (23 bytes)
assets/audio/te/Window.wav,46,wav,wav,False,size small (46 bytes)
